protein1_ID	protein2_ID
P39990	P43321
P39990	P43589
P39990	P47093
P39990	P49704
P39990	P53905
P39990	P54999
P39990	P57743
P39990	Q00723
P39990	Q02260
P39990	Q03338
P39990	Q06217
P39990	Q06406
P39990	Q06819
P39990	Q12330
P39990	Q12368
P39990	Q12420
P40018	P40070
P40018	P40089
P40018	P40204
P40018	P43321
P40018	P43589
P40018	P47093
P40018	P49704
P40018	P53905
P40018	P54999
P40018	P57743
P40018	Q00723
P40018	Q02260
P40018	Q03338
P40018	Q06217
P40018	Q06406
P40018	Q06819
P40018	Q12330
P40018	Q12368
P40018	Q12420
P40070	P40089
P40070	P40204
P40070	P43321
P40070	P43589
P40070	P47093
P40070	P49704
P40070	P53905
P40070	P54999
P40070	P57743
P40070	Q00723
P40070	Q02260
P40070	Q03338
P40070	Q06217
P40070	Q06406
P40070	Q06819
P40070	Q12330
P40070	Q12368
P40070	Q12420
P40089	P40204
P40089	P43321
P40089	P43589
P40089	P47093
P40089	P49704
P40089	P53905
P40089	P54999
P40089	P57743
P40089	Q00723
P40089	Q02260
P40089	Q03338
P40089	Q06217
P40089	Q06406
P40089	Q06819
P40089	Q12330
P40089	Q12368
P40089	Q12420
P40204	P43321
P40204	P43589
P40204	P47093
P40204	P49704
P40204	P53905
P40204	P54999
P40204	P57743
P40204	Q00723
P40204	Q02260
P40204	Q03338
P40204	Q06217
P40204	Q06406
P40204	Q06819
P40204	Q12330
P40204	Q12368
P40204	Q12420
P43321	P43589
P43321	P47093
P43321	P49704
P43321	P53905
P43321	P54999
P43321	P57743
P43321	Q00723
P43321	Q02260
P43321	Q03338
P43321	Q06217
P43321	Q06406
P43321	Q06819
P43321	Q12330
P43321	Q12368
P43321	Q12420
P43589	P47093
P43589	P49704
P43589	P53905
P43589	P54999
P43589	P57743
P43589	Q00723
P43589	Q02260
P43589	Q03338
P43589	Q06217
P43589	Q06406
P43589	Q06819
P43589	Q12330
P43589	Q12368
P43589	Q12420
P47093	P49704
P47093	P53905
P47093	P54999
P47093	P57743
P47093	Q00723
P47093	Q02260
P47093	Q03338
P47093	Q06217
P47093	Q06406
P47093	Q06819
P47093	Q12330
P47093	Q12368
P47093	Q12420
P49704	P53905
P49704	P54999
P49704	P57743
P49704	Q00723
P49704	Q02260
P49704	Q03338
P49704	Q06217
P49704	Q06406
P49704	Q06819
P49704	Q12330
P49704	Q12368
P49704	Q12420
P53905	P54999
P53905	P57743
P53905	Q00723
P53905	Q02260
P53905	Q03338
P53905	Q06217
P53905	Q06406
P53905	Q06819
P53905	Q12330
P53905	Q12368
P53905	Q12420
P54999	P57743
P54999	Q00723
P54999	Q02260
P54999	Q03338
P54999	Q06217
P54999	Q06406
P54999	Q06819
P54999	Q12330
P54999	Q12368
P54999	Q12420
P57743	Q00723
P57743	Q02260
P57743	Q03338
P57743	Q06217
P57743	Q06406
P57743	Q06819
P57743	Q12330
P57743	Q12368
P57743	Q12420
Q00723	Q02260
Q00723	Q03338
Q00723	Q06217
Q00723	Q06406
Q00723	Q06819
Q00723	Q12330
Q00723	Q12368
Q00723	Q12420
Q02260	Q03338
Q02260	Q06217
Q02260	Q06406
Q02260	Q06819
Q02260	Q12330
Q02260	Q12368
Q02260	Q12420
Q03338	Q06217
Q03338	Q06406
Q03338	Q06819
Q03338	Q12330
Q03338	Q12368
Q03338	Q12420
Q06217	Q06406
Q06217	Q06819
Q06217	Q12330
Q06217	Q12368
Q06217	Q12420
Q06406	Q06819
Q06406	Q12330
Q06406	Q12368
Q06406	Q12420
Q06819	Q12330
Q06819	Q12368
Q06819	Q12420
Q12330	Q12368
Q12330	Q12420
Q12368	Q12420
P0C074	P19736
P0C074	P32524
P0C074	P40018
P0C074	P40204
P0C074	P40565
P0C074	P40567
P0C074	P43321
P0C074	P46947
P0C074	P49955
P0C074	P53830
P0C074	P54999
P0C074	Q02260
P0C074	Q02554
P0C074	Q04693
P0C074	Q06217
P0C074	Q06835
P0C074	Q07350
P0C074	Q07930
P0C074	Q08963
P0C074	Q12330
P0C074	Q99181
P19736	P32524
P19736	P40018
P19736	P40204
P19736	P40565
P19736	P40567
P19736	P43321
P19736	P46947
P19736	P49955
P19736	P53830
P19736	P54999
P19736	Q02260
P19736	Q02554
P19736	Q04693
P19736	Q06217
P19736	Q06835
P19736	Q07350
P19736	Q07930
P19736	Q08963
P19736	Q12330
P19736	Q99181
P32524	P40018
P32524	P40204
P32524	P40565
P32524	P40567
P32524	P43321
P32524	P46947
P32524	P49955
P32524	P53830
P32524	P54999
P32524	Q02260
P32524	Q02554
P32524	Q04693
P32524	Q06217
P32524	Q06835
P32524	Q07350
P32524	Q07930
P32524	Q08963
P32524	Q12330
P32524	Q99181
P40018	P40204
P40018	P40565
P40018	P40567
P40018	P43321
P40018	P46947
P40018	P49955
P40018	P53830
P40018	P54999
P40018	Q02260
P40018	Q02554
P40018	Q04693
P40018	Q06217
P40018	Q06835
P40018	Q07350
P40018	Q07930
P40018	Q08963
P40018	Q12330
P40018	Q99181
P40204	P40565
P40204	P40567
P40204	P43321
P40204	P46947
P40204	P49955
P40204	P53830
P40204	P54999
P40204	Q02260
P40204	Q02554
P40204	Q04693
P40204	Q06217
P40204	Q06835
P40204	Q07350
P40204	Q07930
P40204	Q08963
P40204	Q12330
P40204	Q99181
P40565	P40567
P40565	P43321
P40565	P46947
P40565	P49955
P40565	P53830
P40565	P54999
P40565	Q02260
P40565	Q02554
P40565	Q04693
P40565	Q06217
P40565	Q06835
P40565	Q07350
P40565	Q07930
P40565	Q08963
P40565	Q12330
P40565	Q99181
P40567	P43321
P40567	P46947
P40567	P49955
P40567	P53830
P40567	P54999
P40567	Q02260
P40567	Q02554
P40567	Q04693
P40567	Q06217
P40567	Q06835
P40567	Q07350
P40567	Q07930
P40567	Q08963
P40567	Q12330
P40567	Q99181
P43321	P46947
P43321	P49955
P43321	P53830
P43321	P54999
P43321	Q02260
P43321	Q02554
P43321	Q04693
P43321	Q06217
P43321	Q06835
P43321	Q07350
P43321	Q07930
P43321	Q08963
P43321	Q12330
P43321	Q99181
P46947	P49955
P46947	P53830
P46947	P54999
P46947	Q02260
P46947	Q02554
P46947	Q04693
P46947	Q06217
P46947	Q06835
P46947	Q07350
P46947	Q07930
P46947	Q08963
P46947	Q12330
P46947	Q99181
P49955	P53830
P49955	P54999
P49955	Q02260
P49955	Q02554
P49955	Q04693
P49955	Q06217
P49955	Q06835
P49955	Q07350
P49955	Q07930
P49955	Q08963
P49955	Q12330
P49955	Q99181
P53830	P54999
P53830	Q02260
P53830	Q02554
P53830	Q04693
P53830	Q06217
P53830	Q06835
P53830	Q07350
P53830	Q07930
P53830	Q08963
P53830	Q12330
P53830	Q99181
P54999	Q02260
P54999	Q02554
P54999	Q04693
P54999	Q06217
P54999	Q06835
P54999	Q07350
P54999	Q07930
P54999	Q08963
P54999	Q12330
P54999	Q99181
Q02260	Q02554
Q02260	Q04693
Q02260	Q06217
Q02260	Q06835
Q02260	Q07350
Q02260	Q07930
Q02260	Q08963
Q02260	Q12330
Q02260	Q99181
Q02554	Q04693
Q02554	Q06217
Q02554	Q06835
Q02554	Q07350
Q02554	Q07930
Q02554	Q08963
Q02554	Q12330
Q02554	Q99181
Q04693	Q06217
Q04693	Q06835
Q04693	Q07350
Q04693	Q07930
Q04693	Q08963
Q04693	Q12330
Q04693	Q99181
Q06217	Q06835
Q06217	Q07350
Q06217	Q07930
Q06217	Q08963
Q06217	Q12330
Q06217	Q99181
Q06835	Q07350
Q06835	Q07930
Q06835	Q08963
Q06835	Q12330
Q06835	Q99181
Q07350	Q07930
Q07350	Q08963
Q07350	Q12330
Q07350	Q99181
Q07930	Q08963
Q07930	Q12330
Q07930	Q99181
Q08963	Q12330
Q08963	Q99181
Q12330	Q99181
P19735	P23394
P19735	P32639
P19735	P33334
P19735	P36048
P19735	P38852
P19735	P40018
P19735	P40204
P19735	P43321
P19735	P54999
P19735	Q02260
P19735	Q06217
P19735	Q06819
P19735	Q12330
P23394	P32639
P23394	P33334
P23394	P36048
P23394	P38852
P23394	P40018
P23394	P40204
P23394	P43321
P23394	P54999
P23394	Q02260
P23394	Q06217
P23394	Q06819
P23394	Q12330
P32639	P33334
P32639	P36048
P32639	P38852
P32639	P40018
P32639	P40204
P32639	P43321
P32639	P54999
P32639	Q02260
P32639	Q06217
P32639	Q06819
P32639	Q12330
P33334	P36048
P33334	P38852
P33334	P40018
P33334	P40204
P33334	P43321
P33334	P54999
P33334	Q02260
P33334	Q06217
P33334	Q06819
P33334	Q12330
P36048	P38852
P36048	P40018
P36048	P40204
P36048	P43321
P36048	P54999
P36048	Q02260
P36048	Q06217
P36048	Q06819
P36048	Q12330
P38852	P40018
P38852	P40204
P38852	P43321
P38852	P54999
P38852	Q02260
P38852	Q06217
P38852	Q06819
P38852	Q12330
P40018	P40204
P40018	P43321
P40018	P54999
P40018	Q02260
P40018	Q06217
P40018	Q06819
P40018	Q12330
P40204	P43321
P40204	P54999
P40204	Q02260
P40204	Q06217
P40204	Q06819
P40204	Q12330
P43321	P54999
P43321	Q02260
P43321	Q06217
P43321	Q06819
P43321	Q12330
P54999	Q02260
P54999	Q06217
P54999	Q06819
P54999	Q12330
Q02260	Q06217
Q02260	Q06819
Q02260	Q12330
Q06217	Q06819
Q06217	Q12330
Q06819	Q12330
P32357	P33334
P32357	P36048
P32357	P40018
P32357	P40204
P32357	P43321
P32357	P54999
P32357	Q02260
P32357	Q06217
P32357	Q12330
P33334	P36048
P33334	P40018
P33334	P40204
P33334	P43321
P33334	P54999
P33334	Q02260
P33334	Q06217
P33334	Q12330
P36048	P40018
P36048	P40204
P36048	P43321
P36048	P54999
P36048	Q02260
P36048	Q06217
P36048	Q12330
P40018	P40204
P40018	P43321
P40018	P54999
P40018	Q02260
P40018	Q06217
P40018	Q12330
P40204	P43321
P40204	P54999
P40204	Q02260
P40204	Q06217
P40204	Q12330
P43321	P54999
P43321	Q02260
P43321	Q06217
P43321	Q12330
P54999	Q02260
P54999	Q06217
P54999	Q12330
Q02260	Q06217
Q02260	Q12330
Q06217	Q12330
P20053	P39990
P20053	P40018
P20053	P40204
P20053	P43321
P20053	P54999
P20053	Q02260
P20053	Q03338
P20053	Q06217
P20053	Q12330
P39990	P40018
P39990	P40204
P39990	P43321
P39990	P54999
P39990	Q02260
P39990	Q03338
P39990	Q06217
P39990	Q12330
P40018	P40204
P40018	P43321
P40018	P54999
P40018	Q02260
P40018	Q03338
P40018	Q06217
P40018	Q12330
P40204	P43321
P40204	P54999
P40204	Q02260
P40204	Q03338
P40204	Q06217
P40204	Q12330
P43321	P54999
P43321	Q02260
P43321	Q03338
P43321	Q06217
P43321	Q12330
P54999	Q02260
P54999	Q03338
P54999	Q06217
P54999	Q12330
Q02260	Q03338
Q02260	Q06217
Q02260	Q12330
Q03338	Q06217
Q03338	Q12330
Q06217	Q12330
P20053	P38203
P20053	P39990
P20053	P40018
P20053	P40070
P20053	P40089
P20053	P40204
P20053	P43321
P20053	P47093
P20053	P49704
P20053	P53905
P20053	P54999
P20053	P57743
P20053	Q02260
P20053	Q03338
P20053	Q06217
P20053	Q06406
P20053	Q12330
P38203	P39990
P38203	P40018
P38203	P40070
P38203	P40089
P38203	P40204
P38203	P43321
P38203	P47093
P38203	P49704
P38203	P53905
P38203	P54999
P38203	P57743
P38203	Q02260
P38203	Q03338
P38203	Q06217
P38203	Q06406
P38203	Q12330
P39990	P40018
P39990	P40070
P39990	P40089
P39990	P40204
P39990	P43321
P39990	P47093
P39990	P49704
P39990	P53905
P39990	P54999
P39990	P57743
P39990	Q02260
P39990	Q03338
P39990	Q06217
P39990	Q06406
P39990	Q12330
P40018	P40070
P40018	P40089
P40018	P40204
P40018	P43321
P40018	P47093
P40018	P49704
P40018	P53905
P40018	P54999
P40018	P57743
P40018	Q02260
P40018	Q03338
P40018	Q06217
P40018	Q06406
P40018	Q12330
P40070	P40089
P40070	P40204
P40070	P43321
P40070	P47093
P40070	P49704
P40070	P53905
P40070	P54999
P40070	P57743
P40070	Q02260
P40070	Q03338
P40070	Q06217
P40070	Q06406
P40070	Q12330
P40089	P40204
P40089	P43321
P40089	P47093
P40089	P49704
P40089	P53905
P40089	P54999
P40089	P57743
P40089	Q02260
P40089	Q03338
P40089	Q06217
P40089	Q06406
P40089	Q12330
P40204	P43321
P40204	P47093
P40204	P49704
P40204	P53905
P40204	P54999
P40204	P57743
P40204	Q02260
P40204	Q03338
P40204	Q06217
P40204	Q06406
P40204	Q12330
P43321	P47093
P43321	P49704
P43321	P53905
P43321	P54999
P43321	P57743
P43321	Q02260
P43321	Q03338
P43321	Q06217
P43321	Q06406
P43321	Q12330
P47093	P49704
P47093	P53905
P47093	P54999
P47093	P57743
P47093	Q02260
P47093	Q03338
P47093	Q06217
P47093	Q06406
P47093	Q12330
P49704	P53905
P49704	P54999
P49704	P57743
P49704	Q02260
P49704	Q03338
P49704	Q06217
P49704	Q06406
P49704	Q12330
P53905	P54999
P53905	P57743
P53905	Q02260
P53905	Q03338
P53905	Q06217
P53905	Q06406
P53905	Q12330
P54999	P57743
P54999	Q02260
P54999	Q03338
P54999	Q06217
P54999	Q06406
P54999	Q12330
P57743	Q02260
P57743	Q03338
P57743	Q06217
P57743	Q06406
P57743	Q12330
Q02260	Q03338
Q02260	Q06217
Q02260	Q06406
Q02260	Q12330
Q03338	Q06217
Q03338	Q06406
Q03338	Q12330
Q06217	Q06406
Q06217	Q12330
Q06406	Q12330
P27637	P38853
P27637	P50090
P38853	P50090
P40018	P40204
P40018	P43321
P40018	P54999
P40018	Q02260
P40018	Q06217
P40018	Q12330
P40204	P43321
P40204	P54999
P40204	Q02260
P40204	Q06217
P40204	Q12330
P43321	P54999
P43321	Q02260
P43321	Q06217
P43321	Q12330
P54999	Q02260
P54999	Q06217
P54999	Q12330
Q02260	Q06217
Q02260	Q12330
Q06217	Q12330
P38203	P40070
P38203	P40089
P38203	P47093
P38203	P53905
P38203	P57743
P38203	Q06406
P40070	P40089
P40070	P47093
P40070	P53905
P40070	P57743
P40070	Q06406
P40089	P47093
P40089	P53905
P40089	P57743
P40089	Q06406
P47093	P53905
P47093	P57743
P47093	Q06406
P53905	P57743
P53905	Q06406
P57743	Q06406
P38203	P40070
P38203	P40089
P38203	P47017
P38203	P53905
P38203	P57743
P38203	Q06406
P40070	P40089
P40070	P47017
P40070	P53905
P40070	P57743
P40070	Q06406
P40089	P47017
P40089	P53905
P40089	P57743
P40089	Q06406
P47017	P53905
P47017	P57743
P47017	Q06406
P53905	P57743
P53905	Q06406
P57743	Q06406
P38203	P40070
P38203	P40089
P38203	P53905
P38203	P57743
P38203	Q06406
P40070	P40089
P40070	P53905
P40070	P57743
P40070	Q06406
P40089	P53905
P40089	P57743
P40089	Q06406
P53905	P57743
P53905	Q06406
P57743	Q06406
P25644	P38203
P25644	P40070
P25644	P40089
P25644	P47017
P25644	P53905
P25644	P57743
P25644	Q06406
P38203	P40070
P38203	P40089
P38203	P47017
P38203	P53905
P38203	P57743
P38203	Q06406
P40070	P40089
P40070	P47017
P40070	P53905
P40070	P57743
P40070	Q06406
P40089	P47017
P40089	P53905
P40089	P57743
P40089	Q06406
P47017	P53905
P47017	P57743
P47017	Q06406
P53905	P57743
P53905	Q06406
P57743	Q06406
P32479	P32480
P32479	P47171
P32479	Q01448
P32480	P47171
P32480	Q01448
P47171	Q01448
P36112	P38341
P36112	P43594
P36112	P50087
P36112	P50945
P36112	Q96VH5
P38341	P43594
P38341	P50087
P38341	P50945
P38341	Q96VH5
P43594	P50087
P43594	P50945
P43594	Q96VH5
P50087	P50945
P50087	Q96VH5
P50945	Q96VH5
P26449	P41695
P32266	P38297
P32266	Q03327
P38297	Q03327
P35196	Q12063
Q03175	Q12063
P06782	P12904
P06782	Q04739
P12904	Q04739
P06782	P12904
P06782	P32578
P12904	P32578
Q06132	Q12099
P25569	P38263
P25569	P40208
P25569	P40492
P25569	P40547
P25569	P53076
P25569	Q12508
P38263	P40208
P38263	P40492
P38263	P40547
P38263	P53076
P38263	Q12508
P40208	P40492
P40208	P40547
P40208	P53076
