protein1_ID	protein2_ID
P10591	P10592
P10591	P15108
P10591	P25491
P10591	P25567
P10592	P15108
P10592	P25491
P10592	P25567
P15108	P25491
P15108	P25567
P25491	P25567
P13902	P26798
P0CT04	P22217
P0CT04	P22803
P16474	Q05787
P16474	Q99220
Q05787	Q99220
P17967	P38888
P53159	Q12365
P32489	P89114
P33323	Q02721
P09624	P19262
P09624	P19955
P09624	P20967
P19262	P19955
P19262	P20967
P19955	P20967
P40850	P53297
P32334	Q06810
P39552	P53176
P19524	P25591
P19524	P39968
P25591	P39968
P38879	Q02642
P38879	P40314
P03879	P11325
P30771	P38798
P30771	P48412
P38798	P48412
P38996	P53617
P38996	Q00416
P53617	Q00416
P12611	Q07800
P12611	Q07949
P53037	P53844
P32628	Q02890
P22216	P32447
P25694	P32628
P25694	P54860
P32628	P54860
P07266	Q9ZZW7
P53063	Q02792
P53853	Q07794
P25343	P39743
P40316	Q03018
P15303	P38810
P14832	P25357
P14832	P36124
P14832	P38262
P14832	P40480
P14832	P53096
P14832	P53685
P25357	P36124
P25357	P38262
P25357	P40480
P25357	P53096
P25357	P53685
P36124	P38262
P36124	P40480
P36124	P53096
P36124	P53685
P38262	P40480
P38262	P53096
P38262	P53685
P40480	P53096
P40480	P53685
P53096	P53685
P32790	Q12446
P38324	P38850
P38324	Q12098
P38850	Q12098
P06777	P06838
P06777	Q12098
P06838	Q12098
P06777	P06838
P06777	P39735
P06838	P39735
P38632	P40026
P38632	P43124
P38632	Q03718
P38632	Q05541
P38632	Q07913
P38632	Q08204
P38632	Q12749
P40026	P43124
P40026	Q03718
P40026	Q05541
P40026	Q07913
P40026	Q08204
P40026	Q12749
P43124	Q03718
P43124	Q05541
P43124	Q07913
P43124	Q08204
P43124	Q12749
Q03718	Q05541
Q03718	Q07913
Q03718	Q08204
Q03718	Q12749
Q05541	Q07913
Q05541	Q08204
Q05541	Q12749
Q07913	Q08204
Q07913	Q12749
Q08204	Q12749
Q03144	Q03148
P53823	Q03148
P32561	P53127
P32561	Q03214
P53127	Q03214
P47057	Q07528
P47057	Q04053
P53312	P53598
P23594	Q04372
P23594	Q12461
Q04372	Q12461
P38881	P39968
P23595	Q04372
P23595	Q12461
Q04372	Q12461
P36149	P38334
P36149	P46944
P36149	Q03337
P36149	Q03630
P36149	Q03784
P36149	Q99394
P38334	P46944
P38334	Q03337
P38334	Q03630
P38334	Q03784
P38334	Q99394
P46944	Q03337
P46944	Q03630
P46944	Q03784
P46944	Q99394
Q03337	Q03630
Q03337	Q03784
Q03337	Q99394
Q03630	Q03784
Q03630	Q99394
Q03784	Q99394
P46676	P53685
P46676	Q12192
P53685	Q12192
P17122	P40511
P17122	P53061
P17122	Q06032
P40511	P53061
P40511	Q06032
P53061	Q06032
P14291	P20050
P14291	P31111
P14291	Q04110
P14291	Q06201
P20050	P31111
P20050	Q04110
P20050	Q06201
P31111	Q04110
P31111	Q06201
Q04110	Q06201
Q04110	Q06201
P32908	P40541
P32908	P47037
P32908	Q12188
P40541	P47037
P40541	Q12188
P47037	Q12188
P38882	P42945
P38882	P53276
P38882	Q02931
P38882	Q04177
P38882	Q04305
P38882	Q06679
P42945	P53276
P42945	Q02931
P42945	Q04177
P42945	Q04305
P42945	Q06679
P53276	Q02931
P53276	Q04177
P53276	Q04305
P53276	Q06679
Q02931	Q04177
Q02931	Q04305
Q02931	Q06679
Q04177	Q04305
Q04177	Q06679
Q04305	Q06679
P25635	P40362
P25635	Q02354
P25635	Q05946
P25635	Q06078
P25635	Q12220
P40362	Q02354
P40362	Q05946
P40362	Q06078
P40362	Q12220
Q02354	Q05946
Q02354	Q06078
Q02354	Q12220
Q05946	Q06078
Q05946	Q12220
Q06078	Q12220
P53741	Q01477
P47111	Q12016
Q12059	Q99344
P21190	P39001
P36084	Q12186
P06787	P32380
P06787	P33419
P06787	P36094
P32380	P33419
P32380	P36094
P33419	P36094
P36094	P53865
P34241	P47108
P34241	P53734
P34241	Q05942
P34241	Q08287
P47108	P53734
P47108	Q05942
P47108	Q08287
P53734	Q05942
P53734	Q08287
Q05942	Q08287
P36097	P47168
P36097	P53038
P47168	P53038
P0CS90	P32335
P0CS90	P39103
P0CS90	Q3E7B2
P32335	P39103
P32335	Q3E7B2
P39103	Q3E7B2
P02557	P09733
P02557	P09734
P08964	P53141
P08964	Q06580
P53141	Q06580
P06787	Q04439
P06787	P36006
P06787	P32492
P06787	P53141
P32492	P53141
P05750	P05756
P05750	P05759
P05750	P25443
P05750	P26783
P05750	P38011
P05750	P38701
P05750	P48589
P05750	Q01855
P05756	P05759
P05756	P25443
P05756	P26783
P05756	P38011
P05756	P38701
P05756	P48589
P05756	Q01855
P05759	P25443
P05759	P26783
P05759	P38011
P05759	P38701
P05759	P48589
P05759	Q01855
P25443	P26783
P25443	P38011
P25443	P38701
P25443	P48589
P25443	Q01855
P26783	P38011
P26783	P38701
P26783	P48589
P26783	Q01855
P38011	P38701
P38011	P48589
P38011	Q01855
P38701	P48589
P38701	Q01855
P48589	Q01855
P02406	P04650
P02406	P05317
P02406	P05747
P02406	P14120
P02406	P14126
P02406	P26321
P02406	P38061
P02406	P41805
P02406	P49167
P04650	P05317
P04650	P05747
P04650	P14120
P04650	P14126
P04650	P26321
P04650	P38061
P04650	P41805
P04650	P49167
P05317	P05747
P05317	P14120
P05317	P14126
P05317	P26321
P05317	P38061
P05317	P41805
P05317	P49167
P05747	P14120
P05747	P14126
P05747	P26321
P05747	P38061
P05747	P41805
P05747	P49167
P14120	P14126
P14120	P26321
P14120	P38061
P14120	P41805
P14120	P49167
P14126	P26321
P14126	P38061
P14126	P41805
P14126	P49167
P26321	P38061
P26321	P41805
P26321	P49167
P38061	P41805
P38061	P49167
P41805	P49167
O14464	P12687
O14464	P14063
O14464	P19956
O14464	P20084
O14464	P22353
O14464	P22354
O14464	P23369
O14464	P25348
O14464	P25626
O14464	P25642
O14464	P31334
O14464	P32387
O14464	P32388
O14464	P32611
O14464	P32904
O14464	P35996
O14464	P36516
O14464	P36517
O14464	P36519
O14464	P36520
O14464	P36521
O14464	P36523
O14464	P36525
O14464	P36526
O14464	P36527
O14464	P36528
O14464	P36531
O14464	P36532
O14464	P36533
O14464	P36534
O14464	P38064
O14464	P40858
O14464	P51998
O14464	P53163
O14464	P53724
O14464	P53875
O14464	P53881
O14464	P53921
O14464	Q02204
O14464	Q04598
O14464	Q04599
O14464	Q06090
O14464	Q06630
O14464	Q06678
O14464	Q12487
P12687	P14063
P12687	P19956
P12687	P20084
P12687	P22353
P12687	P22354
P12687	P23369
P12687	P25348
P12687	P25626
P12687	P25642
P12687	P31334
P12687	P32387
P12687	P32388
P12687	P32611
P12687	P32904
P12687	P35996
P12687	P36516
P12687	P36517
P12687	P36519
P12687	P36520
P12687	P36521
P12687	P36523
P12687	P36525
P12687	P36526
P12687	P36527
P12687	P36528
P12687	P36531
P12687	P36532
P12687	P36533
P12687	P36534
P12687	P38064
P12687	P40858
P12687	P51998
P12687	P53163
P12687	P53724
P12687	P53875
P12687	P53881
P12687	P53921
P12687	Q02204
P12687	Q04598
P12687	Q04599
P12687	Q06090
P12687	Q06630
P12687	Q06678
P12687	Q12487
P14063	P19956
P14063	P20084
P14063	P22353
P14063	P22354
P14063	P23369
P14063	P25348
P14063	P25626
P14063	P25642
P14063	P31334
P14063	P32387
P14063	P32388
P14063	P32611
P14063	P32904
P14063	P35996
P14063	P36516
P14063	P36517
P14063	P36519
P14063	P36520
P14063	P36521
P14063	P36523
P14063	P36525
P14063	P36526
P14063	P36527
P14063	P36528
P14063	P36531
P14063	P36532
P14063	P36533
P14063	P36534
P14063	P38064
P14063	P40858
P14063	P51998
P14063	P53163
P14063	P53724
P14063	P53875
P14063	P53881
P14063	P53921
P14063	Q02204
P14063	Q04598
P14063	Q04599
P14063	Q06090
P14063	Q06630
P14063	Q06678
P14063	Q12487
P19956	P20084
P19956	P22353
P19956	P22354
P19956	P23369
P19956	P25348
P19956	P25626
P19956	P25642
P19956	P31334
P19956	P32387
P19956	P32388
P19956	P32611
P19956	P32904
P19956	P35996
P19956	P36516
P19956	P36517
P19956	P36519
P19956	P36520
P19956	P36521
P19956	P36523
P19956	P36525
P19956	P36526
P19956	P36527
P19956	P36528
P19956	P36531
P19956	P36532
P19956	P36533
P19956	P36534
P19956	P38064
P19956	P40858
P19956	P51998
P19956	P53163
P19956	P53724
P19956	P53875
P19956	P53881
P19956	P53921
P19956	Q02204
P19956	Q04598
P19956	Q04599
P19956	Q06090
P19956	Q06630
P19956	Q06678
P19956	Q12487
P20084	P22353
P20084	P22354
P20084	P23369
P20084	P25348
P20084	P25626
P20084	P25642
P20084	P31334
P20084	P32387
P20084	P32388
P20084	P32611
P20084	P32904
P20084	P35996
P20084	P36516
P20084	P36517
P20084	P36519
P20084	P36520
P20084	P36521
P20084	P36523
P20084	P36525
P20084	P36526
P20084	P36527
P20084	P36528
P20084	P36531
P20084	P36532
P20084	P36533
P20084	P36534
P20084	P38064
P20084	P40858
P20084	P51998
P20084	P53163
P20084	P53724
P20084	P53875
P20084	P53881
P20084	P53921
P20084	Q02204
P20084	Q04598
P20084	Q04599
P20084	Q06090
P20084	Q06630
P20084	Q06678
P20084	Q12487
P22353	P22354
P22353	P23369
P22353	P25348
P22353	P25626
P22353	P25642
P22353	P31334
P22353	P32387
P22353	P32388
P22353	P32611
P22353	P32904
P22353	P35996
P22353	P36516
P22353	P36517
P22353	P36519
P22353	P36520
P22353	P36521
P22353	P36523
P22353	P36525
P22353	P36526
P22353	P36527
P22353	P36528
P22353	P36531
P22353	P36532
P22353	P36533
P22353	P36534
P22353	P38064
P22353	P40858
P22353	P51998
P22353	P53163
P22353	P53724
P22353	P53875
P22353	P53881
P22353	P53921
P22353	Q02204
P22353	Q04598
P22353	Q04599
P22353	Q06090
P22353	Q06630
P22353	Q06678
P22353	Q12487
P22354	P23369
P22354	P25348
P22354	P25626
P22354	P25642
P22354	P31334
P22354	P32387
P22354	P32388
P22354	P32611
P22354	P32904
P22354	P35996
P22354	P36516
P22354	P36517
P22354	P36519
P22354	P36520
P22354	P36521
P22354	P36523
P22354	P36525
P22354	P36526
P22354	P36527
P22354	P36528
P22354	P36531
P22354	P36532
P22354	P36533
P22354	P36534
P22354	P38064
P22354	P40858
P22354	P51998
P22354	P53163
P22354	P53724
P22354	P53875
P22354	P53881
P22354	P53921
P22354	Q02204
P22354	Q04598
P22354	Q04599
P22354	Q06090
P22354	Q06630
P22354	Q06678
P22354	Q12487
P23369	P25348
P23369	P25626
P23369	P25642
P23369	P31334
P23369	P32387
P23369	P32388
P23369	P32611
P23369	P32904
P23369	P35996
P23369	P36516
P23369	P36517
P23369	P36519
P23369	P36520
P23369	P36521
P23369	P36523
P23369	P36525
P23369	P36526
P23369	P36527
P23369	P36528
P23369	P36531
P23369	P36532
P23369	P36533
P23369	P36534
P23369	P38064
P23369	P40858
P23369	P51998
P23369	P53163
P23369	P53724
P23369	P53875
P23369	P53881
P23369	P53921
P23369	Q02204
P23369	Q04598
P23369	Q04599
P23369	Q06090
P23369	Q06630
P23369	Q06678
P23369	Q12487
P25348	P25626
P25348	P25642
P25348	P31334
P25348	P32387
P25348	P32388
P25348	P32611
P25348	P32904
P25348	P35996
P25348	P36516
P25348	P36517
P25348	P36519
P25348	P36520
P25348	P36521
P25348	P36523
P25348	P36525
P25348	P36526
P25348	P36527
P25348	P36528
P25348	P36531
P25348	P36532
P25348	P36533
P25348	P36534
P25348	P38064
P25348	P40858
P25348	P51998
P25348	P53163
P25348	P53724
P25348	P53875
P25348	P53881
P25348	P53921
P25348	Q02204
P25348	Q04598
P25348	Q04599
P25348	Q06090
P25348	Q06630
P25348	Q06678
P25348	Q12487
P25626	P25642
P25626	P31334
P25626	P32387
P25626	P32388
P25626	P32611
P25626	P32904
P25626	P35996
P25626	P36516
P25626	P36517
P25626	P36519
P25626	P36520
P25626	P36521
P25626	P36523
P25626	P36525
P25626	P36526
P25626	P36527
P25626	P36528
P25626	P36531
P25626	P36532
P25626	P36533
P25626	P36534
P25626	P38064
P25626	P40858
P25626	P51998
P25626	P53163
P25626	P53724
P25626	P53875
P25626	P53881
P25626	P53921
P25626	Q02204
P25626	Q04598
P25626	Q04599
P25626	Q06090
P25626	Q06630
P25626	Q06678
P25626	Q12487
P25642	P31334
P25642	P32387
P25642	P32388
P25642	P32611
P25642	P32904
P25642	P35996
P25642	P36516
P25642	P36517
P25642	P36519
P25642	P36520
P25642	P36521
P25642	P36523
P25642	P36525
P25642	P36526
P25642	P36527
P25642	P36528
P25642	P36531
P25642	P36532
P25642	P36533
P25642	P36534
P25642	P38064
P25642	P40858
P25642	P51998
P25642	P53163
P25642	P53724
P25642	P53875
P25642	P53881
P25642	P53921
P25642	Q02204
P25642	Q04598
P25642	Q04599
P25642	Q06090
P25642	Q06630
P25642	Q06678
P25642	Q12487
P31334	P32387
P31334	P32388
P31334	P32611
P31334	P32904
P31334	P35996
P31334	P36516
P31334	P36517
P31334	P36519
P31334	P36520
P31334	P36521
P31334	P36523
P31334	P36525
P31334	P36526
P31334	P36527
P31334	P36528
P31334	P36531
P31334	P36532
P31334	P36533
P31334	P36534
P31334	P38064
P31334	P40858
P31334	P51998
P31334	P53163
P31334	P53724
P31334	P53875
P31334	P53881
P31334	P53921
P31334	Q02204
P31334	Q04598
P31334	Q04599
P31334	Q06090
P31334	Q06630
P31334	Q06678
P31334	Q12487
P32387	P32388
P32387	P32611
P32387	P32904
P32387	P35996
P32387	P36516
P32387	P36517
P32387	P36519
P32387	P36520
P32387	P36521
P32387	P36523
P32387	P36525
P32387	P36526
P32387	P36527
P32387	P36528
P32387	P36531
P32387	P36532
P32387	P36533
P32387	P36534
P32387	P38064
P32387	P40858
P32387	P51998
P32387	P53163
P32387	P53724
P32387	P53875
P32387	P53881
P32387	P53921
P32387	Q02204
P32387	Q04598
P32387	Q04599
P32387	Q06090
P32387	Q06630
P32387	Q06678
P32387	Q12487
P32388	P32611
P32388	P32904
P32388	P35996
P32388	P36516
P32388	P36517
P32388	P36519
P32388	P36520
P32388	P36521
P32388	P36523
P32388	P36525
P32388	P36526
P32388	P36527
P32388	P36528
P32388	P36531
P32388	P36532
P32388	P36533
P32388	P36534
P32388	P38064
P32388	P40858
P32388	P51998
P32388	P53163
P32388	P53724
P32388	P53875
P32388	P53881
P32388	P53921
P32388	Q02204
P32388	Q04598
P32388	Q04599
P32388	Q06090
P32388	Q06630
P32388	Q06678
P32388	Q12487
P32611	P32904
P32611	P35996
P32611	P36516
P32611	P36517
P32611	P36519
P32611	P36520
P32611	P36521
P32611	P36523
P32611	P36525
P32611	P36526
P32611	P36527
P32611	P36528
P32611	P36531
P32611	P36532
P32611	P36533
P32611	P36534
P32611	P38064
P32611	P40858
P32611	P51998
P32611	P53163
P32611	P53724
P32611	P53875
P32611	P53881
P32611	P53921
P32611	Q02204
P32611	Q04598
P32611	Q04599
P32611	Q06090
P32611	Q06630
P32611	Q06678
P32611	Q12487
P32904	P35996
P32904	P36516
P32904	P36517
P32904	P36519
P32904	P36520
P32904	P36521
P32904	P36523
P32904	P36525
P32904	P36526
P32904	P36527
P32904	P36528
P32904	P36531
P32904	P36532
P32904	P36533
P32904	P36534
P32904	P38064
P32904	P40858
P32904	P51998
P32904	P53163
P32904	P53724
P32904	P53875
P32904	P53881
P32904	P53921
P32904	Q02204
P32904	Q04598
P32904	Q04599
P32904	Q06090
P32904	Q06630
P32904	Q06678
P32904	Q12487
P35996	P36516
P35996	P36517
P35996	P36519
P35996	P36520
P35996	P36521
P35996	P36523
P35996	P36525
P35996	P36526
P35996	P36527
P35996	P36528
P35996	P36531
P35996	P36532
P35996	P36533
P35996	P36534
P35996	P38064
P35996	P40858
P35996	P51998
P35996	P53163
P35996	P53724
P35996	P53875
P35996	P53881
P35996	P53921
P35996	Q02204
P35996	Q04598
P35996	Q04599
P35996	Q06090
P35996	Q06630
P35996	Q06678
P35996	Q12487
P36516	P36517
P36516	P36519
P36516	P36520
P36516	P36521
P36516	P36523
P36516	P36525
P36516	P36526
P36516	P36527
P36516	P36528
P36516	P36531
P36516	P36532
P36516	P36533
P36516	P36534
P36516	P38064
P36516	P40858
P36516	P51998
P36516	P53163
P36516	P53724
P36516	P53875
P36516	P53881
P36516	P53921
P36516	Q02204
P36516	Q04598
P36516	Q04599
P36516	Q06090
P36516	Q06630
P36516	Q06678
P36516	Q12487
P36517	P36519
P36517	P36520
P36517	P36521
P36517	P36523
P36517	P36525
P36517	P36526
P36517	P36527
P36517	P36528
P36517	P36531
P36517	P36532
P36517	P36533
P36517	P36534
P36517	P38064
P36517	P40858
P36517	P51998
P36517	P53163
P36517	P53724
P36517	P53875
P36517	P53881
P36517	P53921
P36517	Q02204
P36517	Q04598
P36517	Q04599
P36517	Q06090
P36517	Q06630
P36517	Q06678
P36517	Q12487
P36519	P36520
P36519	P36521
P36519	P36523
P36519	P36525
P36519	P36526
P36519	P36527
P36519	P36528
P36519	P36531
P36519	P36532
P36519	P36533
P36519	P36534
P36519	P38064
P36519	P40858
P36519	P51998
P36519	P53163
P36519	P53724
P36519	P53875
P36519	P53881
P36519	P53921
P36519	Q02204
P36519	Q04598
P36519	Q04599
P36519	Q06090
P36519	Q06630
P36519	Q06678
P36519	Q12487
P36520	P36521
P36520	P36523
P36520	P36525
P36520	P36526
P36520	P36527
P36520	P36528
P36520	P36531
P36520	P36532
P36520	P36533
P36520	P36534
P36520	P38064
P36520	P40858
P36520	P51998
P36520	P53163
P36520	P53724
P36520	P53875
P36520	P53881
P36520	P53921
P36520	Q02204
P36520	Q04598
P36520	Q04599
P36520	Q06090
P36520	Q06630
P36520	Q06678
P36520	Q12487
P36521	P36523
P36521	P36525
P36521	P36526
P36521	P36527
P36521	P36528
P36521	P36531
P36521	P36532
P36521	P36533
P36521	P36534
P36521	P38064
P36521	P40858
P36521	P51998
P36521	P53163
P36521	P53724
P36521	P53875
P36521	P53881
P36521	P53921
P36521	Q02204
P36521	Q04598
P36521	Q04599
P36521	Q06090
P36521	Q06630
P36521	Q06678
P36521	Q12487
P36523	P36525
P36523	P36526
P36523	P36527
P36523	P36528
P36523	P36531
P36523	P36532
P36523	P36533
P36523	P36534
P36523	P38064
P36523	P40858
P36523	P51998
P36523	P53163
P36523	P53724
P36523	P53875
P36523	P53881
P36523	P53921
P36523	Q02204
P36523	Q04598
P36523	Q04599
P36523	Q06090
P36523	Q06630
P36523	Q06678
P36523	Q12487
P36525	P36526
P36525	P36527
P36525	P36528
P36525	P36531
P36525	P36532
P36525	P36533
P36525	P36534
P36525	P38064
P36525	P40858
P36525	P51998
P36525	P53163
P36525	P53724
P36525	P53875
P36525	P53881
P36525	P53921
P36525	Q02204
P36525	Q04598
P36525	Q04599
P36525	Q06090
P36525	Q06630
P36525	Q06678
P36525	Q12487
P36526	P36527
P36526	P36528
P36526	P36531
P36526	P36532
P36526	P36533
P36526	P36534
P36526	P38064
P36526	P40858
P36526	P51998
P36526	P53163
P36526	P53724
P36526	P53875
P36526	P53881
P36526	P53921
P36526	Q02204
P36526	Q04598
P36526	Q04599
P36526	Q06090
P36526	Q06630
P36526	Q06678
P36526	Q12487
P36527	P36528
P36527	P36531
P36527	P36532
P36527	P36533
P36527	P36534
P36527	P38064
P36527	P40858
P36527	P51998
P36527	P53163
P36527	P53724
P36527	P53875
P36527	P53881
P36527	P53921
P36527	Q02204
P36527	Q04598
P36527	Q04599
P36527	Q06090
P36527	Q06630
P36527	Q06678
P36527	Q12487
P36528	P36531
P36528	P36532
P36528	P36533
P36528	P36534
P36528	P38064
P36528	P40858
P36528	P51998
P36528	P53163
P36528	P53724
P36528	P53875
P36528	P53881
P36528	P53921
P36528	Q02204
P36528	Q04598
P36528	Q04599
P36528	Q06090
P36528	Q06630
P36528	Q06678
P36528	Q12487
P36531	P36532
P36531	P36533
P36531	P36534
P36531	P38064
P36531	P40858
P36531	P51998
P36531	P53163
P36531	P53724
P36531	P53875
P36531	P53881
P36531	P53921
P36531	Q02204
P36531	Q04598
P36531	Q04599
P36531	Q06090
P36531	Q06630
P36531	Q06678
P36531	Q12487
P36532	P36533
P36532	P36534
P36532	P38064
P36532	P40858
P36532	P51998
P36532	P53163
P36532	P53724
P36532	P53875
P36532	P53881
P36532	P53921
P36532	Q02204
P36532	Q04598
P36532	Q04599
P36532	Q06090
P36532	Q06630
P36532	Q06678
P36532	Q12487
P36533	P36534
P36533	P38064
P36533	P40858
P36533	P51998
P36533	P53163
P36533	P53724
P36533	P53875
P36533	P53881
P36533	P53921
P36533	Q02204
P36533	Q04598
P36533	Q04599
P36533	Q06090
P36533	Q06630
P36533	Q06678
P36533	Q12487
P36534	P38064
P36534	P40858
P36534	P51998
P36534	P53163
P36534	P53724
P36534	P53875
P36534	P53881
P36534	P53921
P36534	Q02204
P36534	Q04598
P36534	Q04599
P36534	Q06090
P36534	Q06630
P36534	Q06678
P36534	Q12487
P38064	P40858
P38064	P51998
P38064	P53163
P38064	P53724
P38064	P53875
P38064	P53881
P38064	P53921
P38064	Q02204
P38064	Q04598
P38064	Q04599
P38064	Q06090
P38064	Q06630
P38064	Q06678
P38064	Q12487
P40858	P51998
P40858	P53163
P40858	P53724
P40858	P53875
P40858	P53881
P40858	P53921
P40858	Q02204
P40858	Q04598
P40858	Q04599
P40858	Q06090
P40858	Q06630
P40858	Q06678
P40858	Q12487
P51998	P53163
P51998	P53724
P51998	P53875
P51998	P53881
P51998	P53921
P51998	Q02204
P51998	Q04598
P51998	Q04599
P51998	Q06090
P51998	Q06630
P51998	Q06678
P51998	Q12487
P53163	P53724
P53163	P53875
P53163	P53881
P53163	P53921
P53163	Q02204
P53163	Q04598
P53163	Q04599
P53163	Q06090
P53163	Q06630
P53163	Q06678
P53163	Q12487
P53724	P53875
P53724	P53881
P53724	P53921
P53724	Q02204
P53724	Q04598
P53724	Q04599
P53724	Q06090
P53724	Q06630
P53724	Q06678
P53724	Q12487
P53875	P53881
P53875	P53921
P53875	Q02204
P53875	Q04598
P53875	Q04599
P53875	Q06090
P53875	Q06630
P53875	Q06678
P53875	Q12487
P53881	P53921
P53881	Q02204
P53881	Q04598
P53881	Q04599
P53881	Q06090
P53881	Q06630
P53881	Q06678
P53881	Q12487
P53921	Q02204
P53921	Q04598
P53921	Q04599
P53921	Q06090
P53921	Q06630
P53921	Q06678
P53921	Q12487
Q02204	Q04598
Q02204	Q04599
Q02204	Q06090
Q02204	Q06630
Q02204	Q06678
Q02204	Q12487
Q04598	Q04599
Q04598	Q06090
Q04598	Q06630
Q04598	Q06678
Q04598	Q12487
Q04599	Q06090
Q04599	Q06630
Q04599	Q06678
Q04599	Q12487
Q06090	Q06630
Q06090	Q06678
Q06090	Q12487
Q06630	Q06678
Q06630	Q12487
Q06678	Q12487
O75012	P02381
O75012	P10662
O75012	P10663
O75012	P12686
O75012	P17558
O75012	P21771
O75012	P27929
O75012	P28778
O75012	P28817
O75012	P32344
O75012	P32902
O75012	P33759
O75012	P38120
O75012	P38175
O75012	P38783
O75012	P40033
O75012	P40496
O75012	P42847
O75012	P47141
O75012	P47150
O75012	P53292
O75012	P53305
O75012	P53732
O75012	P53733
O75012	P53937
O75012	Q01163
O75012	Q02608
O75012	Q02950
O75012	Q03201
O75012	Q03246
O75012	Q03430
O75012	Q03799
O75012	Q03976
P02381	P10662
P02381	P10663
P02381	P12686
P02381	P17558
P02381	P21771
P02381	P27929
P02381	P28778
P02381	P28817
P02381	P32344
P02381	P32902
P02381	P33759
P02381	P38120
P02381	P38175
P02381	P38783
P02381	P40033
P02381	P40496
P02381	P42847
P02381	P47141
P02381	P47150
P02381	P53292
P02381	P53305
P02381	P53732
P02381	P53733
P02381	P53937
P02381	Q01163
P02381	Q02608
P02381	Q02950
P02381	Q03201
P02381	Q03246
P02381	Q03430
P02381	Q03799
P02381	Q03976
P10662	P10663
P10662	P12686
P10662	P17558
P10662	P21771
P10662	P27929
P10662	P28778
P10662	P28817
P10662	P32344
P10662	P32902
P10662	P33759
P10662	P38120
P10662	P38175
P10662	P38783
P10662	P40033
P10662	P40496
P10662	P42847
P10662	P47141
P10662	P47150
P10662	P53292
P10662	P53305
P10662	P53732
P10662	P53733
P10662	P53937
P10662	Q01163
P10662	Q02608
P10662	Q02950
P10662	Q03201
P10662	Q03246
P10662	Q03430
P10662	Q03799
P10662	Q03976
P10663	P12686
P10663	P17558
P10663	P21771
P10663	P27929
P10663	P28778
P10663	P28817
P10663	P32344
P10663	P32902
P10663	P33759
P10663	P38120
P10663	P38175
P10663	P38783
P10663	P40033
P10663	P40496
P10663	P42847
P10663	P47141
P10663	P47150
P10663	P53292
P10663	P53305
P10663	P53732
P10663	P53733
P10663	P53937
P10663	Q01163
P10663	Q02608
P10663	Q02950
P10663	Q03201
P10663	Q03246
P10663	Q03430
P10663	Q03799
P10663	Q03976
P12686	P17558
P12686	P21771
P12686	P27929
P12686	P28778
P12686	P28817
P12686	P32344
P12686	P32902
P12686	P33759
P12686	P38120
P12686	P38175
P12686	P38783
P12686	P40033
P12686	P40496
P12686	P42847
P12686	P47141
P12686	P47150
P12686	P53292
P12686	P53305
P12686	P53732
P12686	P53733
P12686	P53937
P12686	Q01163
P12686	Q02608
P12686	Q02950
P12686	Q03201
P12686	Q03246
P12686	Q03430
P12686	Q03799
P12686	Q03976
P17558	P21771
P17558	P27929
P17558	P28778
P17558	P28817
P17558	P32344
P17558	P32902
P17558	P33759
P17558	P38120
P17558	P38175
P17558	P38783
P17558	P40033
P17558	P40496
P17558	P42847
P17558	P47141
P17558	P47150
P17558	P53292
P17558	P53305
P17558	P53732
P17558	P53733
P17558	P53937
P17558	Q01163
P17558	Q02608
P17558	Q02950
P17558	Q03201
P17558	Q03246
P17558	Q03430
P17558	Q03799
P17558	Q03976
P21771	P27929
P21771	P28778
P21771	P28817
P21771	P32344
P21771	P32902
P21771	P33759
P21771	P38120
P21771	P38175
P21771	P38783
P21771	P40033
P21771	P40496
P21771	P42847
P21771	P47141
P21771	P47150
P21771	P53292
P21771	P53305
P21771	P53732
P21771	P53733
P21771	P53937
P21771	Q01163
P21771	Q02608
P21771	Q02950
P21771	Q03201
P21771	Q03246
P21771	Q03430
P21771	Q03799
P21771	Q03976
P27929	P28778
P27929	P28817
P27929	P32344
P27929	P32902
P27929	P33759
P27929	P38120
P27929	P38175
P27929	P38783
P27929	P40033
P27929	P40496
P27929	P42847
P27929	P47141
P27929	P47150
P27929	P53292
P27929	P53305
P27929	P53732
P27929	P53733
P27929	P53937
P27929	Q01163
P27929	Q02608
P27929	Q02950
P27929	Q03201
P27929	Q03246
P27929	Q03430
P27929	Q03799
P27929	Q03976
P28778	P28817
P28778	P32344
P28778	P32902
P28778	P33759
P28778	P38120
P28778	P38175
P28778	P38783
P28778	P40033
P28778	P40496
P28778	P42847
P28778	P47141
P28778	P47150
P28778	P53292
P28778	P53305
P28778	P53732
P28778	P53733
P28778	P53937
P28778	Q01163
P28778	Q02608
P28778	Q02950
P28778	Q03201
P28778	Q03246
P28778	Q03430
P28778	Q03799
P28778	Q03976
P28817	P32344
P28817	P32902
P28817	P33759
P28817	P38120
P28817	P38175
P28817	P38783
P28817	P40033
P28817	P40496
P28817	P42847
P28817	P47141
P28817	P47150
P28817	P53292
P28817	P53305
P28817	P53732
P28817	P53733
P28817	P53937
P28817	Q01163
P28817	Q02608
P28817	Q02950
P28817	Q03201
P28817	Q03246
P28817	Q03430
P28817	Q03799
P28817	Q03976
P32344	P32902
P32344	P33759
P32344	P38120
P32344	P38175
P32344	P38783
P32344	P40033
P32344	P40496
P32344	P42847
P32344	P47141
P32344	P47150
P32344	P53292
P32344	P53305
P32344	P53732
P32344	P53733
P32344	P53937
P32344	Q01163
P32344	Q02608
P32344	Q02950
