Entry	Gene names  (ordered locus )
P10659	YLR180W
Q02455	YKR095W
Q99316	YOL088C
P0CD99	YDL247W
P38994	YDR208W
P0CX80	YHR053C
Q03776	YDR235W
P38698	YHR201C
P30656	YPR103W
P47116	YJR059W
P36002	YKL198C
P34222	YBL057C
P40100	YER185W
P07256	YBL045C
P00127	YFR033C
P25635	YCR057C
P07259	YJL130C
P01119	YOR101W
P41056	YOR234C
Q12224	YPL089C
Q07829	YLL030C
P46784	YMR230W
P32608	YGL252C
P17558	YOR158W
P14693	YHR083W
Q12136	YDL153C
P22214	YLR268W
P14906	YOR254C
Q04002	YDR180W
Q12369	YLL003W
Q08817	YOR353C
P53953	YNL049C
P53438	YMR016C
P40092	YER150W
P11325	YLR382C
Q08749	YOR297C
P07277	YMR208W
P32435	YGL089C
Q07684	YDL233W
P40356	YGL025C
P38335	YBR255W
P0CE92	YAL068C
P25580	YCL052C
P50947	YNL097C
P14242	YNL082W
P32598	YER133W
O13516	YPL081W
P53236	YGR056W
Q02206	YKR008W
O14464	YPL183W-A
P33330	YOR184W
P50278	YNR034W
P38282	YBR152W
P53266	YGR112W
Q06091	YPR101W
P23201	YLL021W
P36136	YKR043C
P25567	YCL037C
P39926	YMR183C
Q04048	YDR416W
P53215	YGR024C
Q12308	YPL007C
Q07904	YLR004C
P35202	YOR143C
Q12218	YOR009W
P32613	YEL048C
Q03533	YMR291W
Q06451	YPR156C
Q04600	YDR117C
P47168	YJR136C
P53872	YNL190W
Q12428	YPR002W
P33329	YDR436W
P25043	YOR157C
P10363	YIR008C
Q9ZZW2	Q0144
Q9ZZW1	Q0182
Q03956	YDR202C
Q06109	YPR116W
P38766	YHR031C
P0CX52	YDL083C
P38165	YBL103C
P46654	YLR048W
Q03919	YDR139C
P53305	YGR215W
P42847	YNL306W
P38804	YHR087W
Q05543	YDR289C
P35179	YDR086C
Q08986	YPL274W
P53189	YGL028C
P42223	YDR351W
Q08230	YOL071W
Q03323	YDR469W
P25365	YCR067C
Q99287	YOR165W
Q04053	YDR425W
Q02775	YDR088C
Q12306	YDR510W
Q07798	YLL005C
P25554	YCL010C
P40073	YER118C
P33336	YGR143W
P38751	YHL006C
P42843	YNL311C
Q12020	YLR082C
Q05471	YDR334W
P23615	YGR116W
P46675	YLR045C
Q12427	YDR169C
P08459	YDR522C
P15179	YPL104W
P18898	YGL155W
P32522	YLR067C
P27616	YAR015W
P32863	YGL163C
Q04779	YMR075W
A0A0B7P221	YCL054W-A
Q04418	YDR527W
P40395	YLR039C
P32862	YKL038W
Q08003	YLR073C
P48743	YLR176C
P0CX86	YDL184C
P17890	YNL151C
P53064	YGL244W
P33754	YBR171W
P38345	YBR269C
Q08581	YOR195W
Q04902	YMR322C
P40031	YER046W
P40167	YNL196C
Q12118	YOR007C
P32566	YGR229C
P38717	YNL257C
P22579	YOL004W
Q08673	YOR247W
P40342	YNR004W
P38789	YHR066W
P40164	YNL201C
P50109	YML017W
P37299	YHR001W-A
Q12188	YPR007C
Q03530	YMR274C
Q12090	YLR107W
P38883	YHR197W
P0CX83	YBL027W
P0CX43	YPL220W
P05745	YMR194W
P36070	YKL125W
P48164	YNL096C
P36047	YKL193C
P53313	YGR245C
P39709	YAL067C
Q08826	YOR357C
Q12420	YOR308C
P33338	YNL243W
P46954	YJL089W
P38960	YDR082W
P38985	YDL092W
P36069	YKL128C
P38701	YHL015W
P05756	YDR064W
P25443	YGL123W
Q07979	YLR033W
P26783	YJR123W
Q3E7X9	YOR167C
P0CX30	YPR132W
Q08985	YPL273W
