Protein;WT_Control_1;WT_Control_2;WT_Control_3;WT_Control_4;WT_HU_1;WT_HU_2;WT_HU_3;WT_HU_4
P25385;108557.921875;163618.78125;162473.6875;27500.07;148768.125;133708.609375;128037.2890625;159513.234375
P25386;581738.9375;697817.75;625222.625;206452.04;614382.375;604616.4375;661618.375;566598.0625
P25389;24827.216796875;56014.1796875;47538.7109375;116474.76;26306.599609375;30818.958984375;40406.640625;34909.10546875
P25441;133388.625;152401.515625;138663.84375;46667.39;161503.546875;161650.921875;127216.0390625;127335.1328125
P25443;11576243;13903689;12085750;27449.8;13845875;12729575;12699198;13282591
P25451;404350.0625;455508.96875;458988.3125;22604.87;454272.03125;450494.125;412485.84375;452713.71875
P25454;91749.375;88436.40625;82657.84375;42963.43;79461.7265625;109282.4375;107209.96875;80785.0234375
P25491;1640394.5;1917968.75;1735421.875;44670.73;2065808.625;1478610.875;1868335.125;1778066.5
P25515;434257.25;105813.8046875;124209.71875;16350.6;123633.875;597494.125;375989.28125;139634.328125
P25554;61205.328125;106111.203125;111246.5390625;29381.07;107024.5234375;67516.25;64042.13671875;83844.4140625
P25555;336986;492513.5625;410052.9375;48728.73;411888.53125;265144.46875;340725.4375;345639.46875
P25558;101373.3828125;132993.34375;112261.5390625;184718.86;131531.90625;81897.71875;118792.15625;113346.796875
P25559;23152.119140625;31296.923828125;43358.609375;44073.84;24509.259765625;25629.3515625;24182.765625;23654.12109375
P25560;227397.0625;246290.484375;222735.5625;22270.18;233043.21875;180832.09375;143401.796875;309413.78125
P25566;141214.625;179304.4375;182408.078125;19278.97;167458.390625;145028.09375;147964.859375;139324.296875
P25567;1958149.25;1682145.875;1356232.625;48059.93;1600940.875;2193643.5;2482864.25;1260932.875
