PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
P38915,1.13E+08,9.23E+07,8.40E+07,7.88E+07,8.49E+07,2.38E+07,7.02E+07,8.25E+07,1140002,852979.6,1832459,1090187,1308314,1570644,1459969,4171405
P00360,6.60E+07,4.06E+07,4.00E+07,4.51E+07,4.57E+07,4.58E+07,3.36E+07,5.19E+07,1.35E+08,9.67E+07,1.06E+08,1.10E+08,2.26E+08,1.52E+08,6.63E+07,1.20E+08
P53207,2896136,675861.9,233277.4,1129674,952525.4,895848,929201.8,1264551,222968.7,927614.4,609503.8,485222,343790.6,487948.5,1174464,1262903
Q06505,1.06E+07,1.38E+07,1.34E+07,1.57E+07,1.89E+07,1.04E+07,8926533,1.96E+07,54660.96,295859,279090,175456.8,243906.7,131454.1,132978.2,480652.6
P27692,3.51E+07,3.52E+07,3.10E+07,3.60E+07,3.37E+07,2.45E+07,2.55E+07,2.77E+07,5831632,1.11E+07,8733208,6777076,7274629,6773135,8267362,9416193
P32790,3010283,2349058,3261114,1971664,1900758,1993925,1898412,2564998,4782199,2774638,3276022,1793665,1712967,1645003,2772435,3268608
P25339,1312709,1123254,441995.6,1403984,330519.6,871134.2,222497.1,360903.3,3.35E+07,3.27E+07,4.02E+07,3.04E+07,1.86E+07,1.96E+07,2.23E+07,2.73E+07
P40150,7.78E+07,8.16E+07,7.84E+07,1.14E+08,8.72E+07,7.70E+07,5.82E+07,9.94E+07,1.70E+08,3.20E+08,1.26E+08,2.19E+08,9.56E+07,1.27E+08,1.32E+08,1.44E+08
P33892,3493396,2408234,3133544,4780655,3875743,1624300,2009191,2337447,8216868,1.15E+07,1.00E+07,7338437,1.01E+07,5782720,5924436,5069313
P38351,1.96E+08,1.94E+08,2.38E+08,1.34E+08,1.14E+08,1.02E+08,1.44E+08,2.50E+08,298173.1,418031.2,3414507,328535.5,530605.1,146879,1284953,374990.8
P16862,5168538,4446214,6359538,4507950,7419708,6854634,5179307,8584074,3.18E+07,3.13E+07,3.46E+07,3.80E+07,2.87E+07,1.82E+07,1.41E+07,1.91E+07
P07149,8448866,1.24E+07,6409918,1.05E+07,4286117,6552032,4244561,6691953,2.17E+07,1.94E+07,2.46E+07,2.52E+07,2.06E+07,1.49E+07,1.46E+07,1.72E+07
P47170,9898980,1.12E+07,1.36E+07,8929563,1.54E+07,1.22E+07,2.49E+07,1.24E+07,451941.3,371251,137773.7,1084181,744746.7,193482.9,869046.3,282993.6
P19097,8397891,8112261,6005766,6429537,4411728,3988000,2934342,4921385,2.15E+07,4.41E+07,3.03E+07,2.03E+07,2.42E+07,2.85E+07,1.33E+07,1.61E+07
P10622,5862877,1514366,1274763,2342720,938695.5,757636.9,2413899,3986958,5346922,5675677,8558824,3173295,6153864,7821782,1.04E+07,7468877
P40212,1.24E+08,1.14E+08,2.00E+08,1.79E+08,1.69E+08,1.08E+08,1.21E+08,6.28E+07,5.19E+07,4.14E+07,5.25E+07,3.15E+07,6.22E+07,4.69E+07,2.29E+07,3.71E+07
Q12213,2.11E+08,1.31E+08,1.41E+08,1.59E+08,9.71E+07,1.01E+08,1.19E+08,1.63E+08,4.85E+07,5.66E+07,2.63E+07,4.20E+07,6.78E+07,7.15E+07,6.43E+07,6.57E+07
P36114,120683.9,282863,156274.9,775983.5,231896.4,NaN,NaN,NaN,5955495,5254634,1.20E+07,7866183,8943418,5207558,5759990,5470864
P06168,2065422,2440325,1446680,2888736,2115659,2222578,2126844,3333005,2.02E+07,3.43E+07,2.99E+07,2.86E+07,2.58E+07,2.81E+07,2.40E+07,2.45E+07
P0CX39;P0CX40,1.46E+08,8.19E+07,1.18E+08,1.35E+08,8.74E+07,4.54E+07,9.13E+07,2.03E+08,5.85E+07,7.39E+07,1.06E+08,6.75E+07,4.41E+07,4.61E+07,4.01E+07,3.98E+07
P07347,4720555,6335682,6663226,6064953,5374245,3108574,4274878,9296716,2798042,3961170,3274991,2050532,4407701,2620330,1602551,1717078
Q12433,4.39E+07,6.33E+07,5.13E+07,9.09E+07,8.89E+07,3.17E+07,4.22E+07,7.42E+07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,324286.9
P36775,2.37E+07,1.80E+07,4.73E+07,7.28E+07,3.06E+07,1.69E+07,1.92E+07,2.69E+07,3718724,4154930,7319581,2489958,3422607,2746156,4071335,3496714
P36105,9.23E+07,6.99E+07,4.11E+07,8.54E+07,1.26E+08,4.49E+07,8.93E+07,9.88E+07,3.88E+07,6.51E+07,5.98E+07,5.14E+07,2.97E+07,1.31E+07,2.56E+07,2.19E+07
Q08965,1.76E+07,1.11E+07,1.35E+07,1.68E+07,1.83E+07,1.56E+07,8966068,1.91E+07,NaN,NaN,328899,388256.5,NaN,NaN,NaN,NaN
Q06698,3919986,2885864,1794510,1934284,1838809,1633324,828936.1,3153135,NaN,NaN,1515656,140121.6,447523.2,126532.6,NaN,NaN
P34241,4482909,4390480,4127671,5183416,5894887,3643286,2276089,3372263,113524.9,609945.9,1947102,1071972,473084.9,1200763,367869.9,348544.3
P39002,3716860,5059923,4406248,8996377,2968102,2720209,1398047,3838173,2.20E+07,1.90E+07,1.74E+07,2.36E+07,1.75E+07,9314484,1.15E+07,1.78E+07
Q05942,8707798,4702887,3532779,6931895,8359212,6219079,5016481,3919827,2050026,1917958,2705019,1994179,3116277,2348734,869600,386219.8
P08518,3.44E+07,2.96E+07,2.50E+07,3.72E+07,2.90E+07,2.41E+07,4.06E+07,2.75E+07,1.72E+07,1.60E+07,1.31E+07,9577949,2.12E+07,1.19E+07,1.18E+07,1.31E+07
P53855,127837.7,981435.9,NaN,275688.2,244513.3,202276.1,55380.79,NaN,75672.29,209428.4,1887166,67660.95,NaN,1396835,104015.7,NaN
Q05518,3306711,1940107,2206139,2983668,4595504,4342720,3074444,3899737,2641077,1663907,1454045,2204160,3278945,3459273,4555674,3037967
P23615,2.75E+07,3.14E+07,1.84E+07,1.92E+07,3.15E+07,1.36E+07,1.59E+07,2.82E+07,2841795,2495708,3210780,2741225,676167.1,1245166,974344.6,3044101
P54780,1.16E+08,1.71E+08,2.24E+08,8.82E+07,1.91E+08,5.85E+07,4.74E+07,7.32E+07,5.95E+07,4.99E+07,6.43E+07,5.19E+07,4.42E+07,3.11E+07,4.49E+07,3.79E+07
P00817,9963797,7274814,8014770,7137417,1.03E+07,6057155,7262571,8301655,1.06E+07,9760616,1.10E+07,1.25E+07,2.10E+07,1.10E+07,1.28E+07,1.10E+07
Q04660,1.22E+07,1.55E+07,1.13E+07,1.22E+07,1.42E+07,1.03E+07,1.09E+07,1.86E+07,562955.7,354728.3,NaN,NaN,295033.7,137731.8,587878.2,NaN
P53742,3081110,3406188,3438141,4354847,4210384,2530779,1930929,4359756,4084883,5692964,4953768,3968041,2364202,3200007,2714598,2098910
P40433,1.34E+08,8.95E+07,1.23E+08,1.44E+08,1.30E+08,1.56E+08,1.04E+08,1.90E+08,NaN,NaN,NaN,NaN,NaN,NaN,109362,103791.5
P50086,7249740,9207811,5592624,7297111,6605592,8518574,6371863,7920873,409377.7,982198.6,1379755,NaN,818342.9,1198779,268637.4,523986.4
P53733,367331.4,303073.6,179925,NaN,NaN,117951.6,139512.8,144120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P06778,1759271,1877470,1422384,2069662,4370919,1916699,2322469,3418496,147809.3,NaN,0,213729.3,385712.9,140626.5,NaN,392689.2
P19882,3889689,4900475,5645968,3132921,4532229,3168051,2711451,3925924,5.90E+07,4.16E+07,4.33E+07,2.83E+07,4.77E+07,2.74E+07,3.12E+07,2.86E+07
Q04500,2.22E+07,3.66E+07,3.33E+07,1.68E+07,1.64E+07,2.07E+07,1.22E+07,1.73E+07,2095518,370750.3,2661980,2475736,NaN,492372.1,744737.6,635585.8
P38144,7801054,7618545,9431918,8135718,1.07E+07,5141913,4067878,6583456,952833.9,3205249,768922.3,1917468,1325864,1526536,2452672,NaN
P05750,2.10E+07,3.73E+07,2.82E+07,4.27E+07,1.50E+07,1.50E+07,1.45E+07,5.47E+07,4.12E+07,4.73E+07,6.78E+07,3.88E+07,5.51E+07,3.24E+07,3.76E+07,2.91E+07
P19524,3270237,2773004,2888344,4966236,5645624,3448477,1840079,3900530,3147206,3227554,4906450,2829214,4859256,2846324,1855041,2345505
P33299,2.40E+07,2.89E+07,2.37E+07,3.13E+07,2.57E+07,2.63E+07,1.75E+07,2.87E+07,5.80E+07,6.69E+07,5.90E+07,6.98E+07,3.17E+07,5.03E+07,3.61E+07,5.62E+07
P53859,3936197,4609322,7569836,9133553,3113150,3482140,2865004,3017417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P39077,2.33E+07,3.52E+07,3.20E+07,3.21E+07,2.93E+07,2.52E+07,2.09E+07,2.73E+07,1.73E+07,1.48E+07,1.34E+07,1.65E+07,2.92E+07,2.12E+07,1.33E+07,1.17E+07
Q03690,7856564,1.67E+07,9253909,1.18E+07,1.14E+07,7617035,8087424,1.56E+07,1.88E+07,1.02E+07,1.46E+07,1.35E+07,1.82E+07,9452035,1.34E+07,8894797
P06634,9777082,6765965,5692321,1.19E+07,7791538,5150341,4487448,9190994,1.26E+07,1.43E+07,1.75E+07,1.70E+07,2.26E+07,2.08E+07,1.80E+07,2.04E+07
Q12220,3.98E+07,3.89E+07,3.63E+07,4.59E+07,4.06E+07,1.86E+07,2.79E+07,3.83E+07,NaN,913578.4,2034364,1345466,NaN,132259.3,198829.2,720395
P38011,1.18E+08,5.51E+07,7.05E+07,1.40E+08,5.07E+07,6.01E+07,5.76E+07,8.13E+07,3.16E+07,2.78E+07,3.50E+07,3.40E+07,2.49E+07,2.45E+07,2.54E+07,2.42E+07
P38174,202953.4,257120.1,292214.6,370564.6,381705.1,263508.1,NaN,807010.3,3501944,1.05E+07,7841307,4765645,5896455,5352776,5144446,7462900
P38934,1.06E+07,1.57E+07,8043251,1.20E+07,1.21E+07,1.10E+07,6781535,1.07E+07,7975012,8003340,9905513,1.05E+07,1.38E+07,1.01E+07,9463716,1.02E+07
P38768,1740931,1407322,1443352,1307417,1474294,603983.3,717196.8,934087,3643001,2424086,2145595,2806497,5765890,4049422,2876693,4482328
Q12149,3304710,3985355,2893924,4202752,754177.1,1292260,518051.3,2769159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,111632.3
Q12018,623318.4,441337.6,508289.5,1673138,174094.8,658292,103114.4,314047.2,794242.9,1599880,3505445,1251826,310878.9,1889741,1213098,1585643
P38922,1.07E+07,5456703,6091990,5594488,1.53E+07,6779054,6519071,1.01E+07,6284005,6648927,7187112,6428373,5552350,5201352,7900092,9476070
P48164,4.36E+07,1.12E+08,4.58E+07,1.13E+08,7.43E+07,7.06E+07,4.43E+07,6.86E+07,1.27E+08,5.45E+07,7.16E+07,6.76E+07,7.24E+07,4.46E+07,3.12E+07,5.26E+07
P26321,4.92E+07,5.84E+07,8.63E+07,7.42E+07,4.96E+07,4.14E+07,5.19E+07,9.95E+07,4.67E+07,5.95E+07,7.76E+07,3.61E+07,5.01E+07,3.57E+07,3.04E+07,3.60E+07
P38811,8.10E+07,4.97E+07,4.88E+07,4.34E+07,8.62E+07,3.53E+07,3.36E+07,1.02E+08,681944.7,762049.9,702888.4,636181.3,124818.2,215476.8,297137.6,229734.7
Q06108,7125673,3902025,2631801,3698424,1.08E+07,4148556,4890151,8282820,NaN,NaN,NaN,NaN,191710.9,299044.9,494318,NaN
P35177,1.02E+08,1.06E+08,5.97E+07,7.74E+07,2.07E+08,7.44E+07,4.62E+07,8.32E+07,385602.6,548477.1,1070645,1236193,708541.9,1226944,1044617,793494.3
P39516,7.23E+07,1.40E+08,1.09E+08,1.25E+08,1.30E+08,4.64E+07,1.01E+08,1.10E+08,2.66E+07,4.73E+07,3.04E+07,3.52E+07,2.85E+07,2.16E+07,3.12E+07,3.44E+07
P00950,2.23E+07,2.00E+07,1.80E+07,2.11E+07,1.80E+07,1.43E+07,1.79E+07,1.97E+07,2.03E+08,1.30E+08,7.31E+07,1.36E+08,7.80E+07,9.42E+07,1.74E+08,1.31E+08
Q02199,138313.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1864192,6596168,7957301,4706849,2769933,5177165,3386903,7590764
P33298,1.83E+07,2.48E+07,4.28E+07,2.66E+07,3.92E+07,1.58E+07,2.29E+07,2.26E+07,3.49E+07,2.28E+07,4.97E+07,1.94E+07,3.38E+07,4.09E+07,3.39E+07,3.48E+07
P00942,8169918,7856790,3226499,7698328,4913504,5195278,3781613,7159080,1.81E+07,2.45E+07,1.27E+07,1.26E+07,2.19E+07,1.98E+07,1.98E+07,1.50E+07
P0CX55;P0CX56,8.49E+07,1.12E+08,7.16E+07,1.00E+08,6.82E+07,5.15E+07,1.73E+07,8.81E+07,4.82E+07,5.57E+07,5.91E+07,9.79E+07,5.67E+07,6.05E+07,6.84E+07,4.67E+07
Q04217,1.72E+07,1.79E+07,1.63E+07,1.29E+07,1.81E+07,1.34E+07,9214213,1.63E+07,258585.4,129809.8,188451.9,304569,147176.7,96752.09,212086.6,160638
P12695,5750513,3692926,5066443,3968580,5259932,5484943,2422957,4895380,1.13E+07,1.89E+07,1.30E+07,8792616,7291668,1.10E+07,8194198,1.44E+07
P39015,1.61E+08,1.08E+08,1.52E+08,1.94E+08,1.71E+08,9.80E+07,1.05E+08,6.65E+07,9.14E+07,6.83E+07,6.59E+07,4.49E+07,4.19E+07,8.07E+07,5.23E+07,4.25E+07
iRT-Kit_WR_fusion,8.04E+07,2.10E+08,1.41E+08,1.77E+08,1.94E+08,1.53E+08,7.70E+07,1.65E+08,2.20E+08,1.22E+08,2.03E+08,1.37E+08,2.24E+08,2.06E+08,9.81E+07,1.75E+08
P32496,2.23E+07,1.57E+07,2.38E+07,1.97E+07,1.90E+07,1.06E+07,8267822,2.75E+07,1.23E+07,1.56E+07,1.22E+07,1.69E+07,6547466,1.68E+07,1.07E+07,1.18E+07
P21243,0,178657.3,NaN,505730.2,2613628,1393795,896230.3,502415.6,3819314,6379142,3428423,5735854,1.08E+07,4707877,3515392,1.30E+07
P26785,7.34E+07,8.78E+07,5.05E+07,7.95E+07,5.10E+07,3.76E+07,3.27E+07,7.72E+07,3.52E+07,1.46E+07,1.70E+07,1.38E+07,2.71E+07,7511473,1.38E+07,1.88E+07
P15891,2295420,3816323,2660262,3252998,4316382,2834459,2461069,2648309,3730940,4336067,4849611,3036311,5296631,4351660,4388757,4185719
P29453,3.84E+07,1.06E+08,7.19E+07,1.15E+08,7.95E+07,5.44E+07,4.24E+07,1.42E+08,2.59E+07,3.50E+07,3.48E+07,3.09E+07,2.03E+07,2.74E+07,2.33E+07,1.28E+07
P47083,9484891,1.23E+07,1.56E+07,2.22E+07,2.71E+07,8477414,6234486,2.39E+07,6459437,4759592,2775443,4602534,2699193,2964189,3603406,2934554
Q03735,8141825,7931904,1.05E+07,8810631,4912471,2424545,3564979,6391531,6269304,6643589,6329329,6284662,3756849,5018554,4726299,4993265
P53914,2.25E+07,1.79E+07,1.38E+07,2.62E+07,1.55E+07,1.27E+07,1.18E+07,4.39E+07,1224343,2282129,680881.2,1206079,1742492,1283493,752672.3,1032491
Q08444,1.22E+07,1.46E+07,9973230,1.61E+07,9689158,6370552,5746058,1.20E+07,1395989,158731.8,2248510,986932.8,1383029,NaN,188690.3,NaN
P0C0W9;Q3E757,7.15E+07,9.79E+07,9.99E+07,1.24E+08,6.36E+07,9.19E+07,4.64E+07,1.19E+08,7.19E+07,5.46E+07,4.29E+07,5.32E+07,3.29E+07,2.48E+07,1.56E+07,4.34E+07
P26784,2.72E+07,5.00E+07,2.85E+07,7.56E+07,4.43E+07,3.90E+07,3.25E+07,4.33E+07,1.53E+07,1.10E+07,1.28E+07,1.47E+07,7458119,8804959,7024569,9526030
P39936,1216923,927545.1,1323368,2730802,0,359652.6,911756.3,2114720,1540454,442147.3,1227250,646670.3,2735399,1176218,1632082,NaN
Q04264,1.80E+08,1.02E+08,5.13E+07,9.28E+07,1.72E+08,1.03E+08,7.67E+07,1.17E+08,157890.7,135156.7,92708.55,NaN,NaN,329414.8,349473.3,496968.3
P32589,1.29E+07,7401391,7244173,1.09E+07,1.35E+07,8051384,1.04E+07,5747408,4.25E+07,3.49E+07,4.00E+07,3.71E+07,3.52E+07,2.81E+07,3.88E+07,2.70E+07
P12709,4039014,3398111,4971776,5229010,3432865,3870340,3372360,5438469,6.77E+07,3.88E+07,3.78E+07,2.79E+07,3.33E+07,3.67E+07,3.21E+07,2.61E+07
P15565,259864.4,589465.8,1248008,924308.6,238957.3,NaN,NaN,268972,2160211,3511445,4925252,3231546,2482220,3341850,642433.8,690132.8
Q06217,2708974,3229637,2300186,2310312,2436516,2090609,3579387,1356581,92714.59,689862.2,NaN,219441.6,NaN,375622.6,94401.35,NaN
P32657,5.04E+07,1.92E+07,1.18E+07,3.64E+07,3.12E+07,1.70E+07,1.59E+07,2.40E+07,3527851,672820.1,3726574,1157337,341448.9,106857,613271.5,2739183
P38902,2.26E+07,2.10E+07,2.35E+07,1.83E+07,2.90E+07,1.40E+07,1.42E+07,2.40E+07,1.38E+07,1.23E+07,1.32E+07,1.23E+07,1.12E+07,8786973,1.19E+07,1.07E+07
P26786,5.33E+07,7.40E+07,8.69E+07,3.44E+07,5.84E+07,2.21E+07,3.24E+07,5.73E+07,3.60E+07,2.93E+07,3.31E+07,3.44E+07,1.69E+07,1.89E+07,9377779,2.74E+07
P32324,1.39E+07,1.36E+07,1.46E+07,2.73E+07,9514014,1.19E+07,1.21E+07,1.60E+07,9.24E+07,1.25E+08,8.62E+07,1.04E+08,1.20E+08,9.69E+07,4.75E+07,1.31E+08
Q07528,2.28E+07,3.92E+07,1.83E+07,3.10E+07,3.96E+07,1.86E+07,1.62E+07,3.62E+07,1477109,2934882,2860412,1559085,910643.4,1694432,712585.3,2345009
P32591,4394117,3002704,3755221,4861635,6567268,3616939,2969826,5082355,3761893,2823196,3553435,2562698,2554206,2143571,1753211,3569684
P25694,8803602,9659977,1.11E+07,1.67E+07,1.16E+07,1.34E+07,8393636,1.20E+07,4.74E+07,6.50E+07,4.25E+07,5.98E+07,5.75E+07,3.73E+07,3.42E+07,5.48E+07
P38687,4506020,7212804,3782550,5487214,8061211,3728564,3364009,4242829,3900209,2751108,4249901,4706172,3802784,4119398,3123128,2042194
Q08245,1025785,994716.8,553074.5,549348.1,1156360,1579355,473023.3,1137779,NaN,196880.3,NaN,NaN,NaN,NaN,NaN,NaN
P00549,8.55E+07,6.59E+07,4.75E+07,6.77E+07,1.21E+08,1.27E+08,1.68E+08,2.59E+08,1.46E+08,1.28E+08,1.28E+08,2.24E+08,3.22E+08,3.01E+08,3.02E+08,3.49E+08
Q12532,8940459,8071709,1.31E+07,1.33E+07,1.09E+07,7811805,1.35E+07,1.25E+07,1182541,673896.9,693548.1,1828020,994325.1,671533.3,1131510,75432.54
Q06132,3135897,3008623,3617891,2135580,2738448,2601295,2178686,4232045,NaN,NaN,NaN,112722.9,NaN,NaN,NaN,NaN
P49090,742087.5,1849675,146089.7,1437499,1384313,1046970,886772.3,1166605,3434526,5783889,4381614,9608568,5893876,4116444,5752961,5028851
P47037,2.05E+07,1.27E+07,1.15E+07,1.48E+07,3.66E+07,1.35E+07,1.79E+07,2.14E+07,2639378,666026.4,2232022,2140149,NaN,NaN,439488.5,902343.9
P32787,6880593,7896502,6367274,4967065,4761421,3280800,4190830,4600107,1143248,1498046,1686502,782137.1,611400.6,1215722,1271875,1121911
P38708,2629060,3108017,2238563,2791991,726974.1,1178680,1432727,2361579,3.94E+07,3.12E+07,2.33E+07,3.23E+07,2.99E+07,4.26E+07,2.31E+07,3.09E+07
P54115,6087670,8387482,6551786,1.12E+07,4519955,7636785,4839268,6377900,5.83E+07,1.43E+08,1.21E+08,9.70E+07,5.65E+07,6.61E+07,7.59E+07,1.06E+08
P37291,2732147,2630551,4084858,4761173,3892407,5638794,4599529,6576708,2.22E+07,1.97E+07,1.80E+07,2.02E+07,2.52E+07,2.33E+07,1.75E+07,1.72E+07
Q06409,459808.2,NaN,169305.1,183635.8,NaN,NaN,NaN,NaN,NaN,215834.6,188952.3,70355.44,NaN,NaN,264717.8,410282.8
P53251,3952881,3181251,2700981,4277470,6291126,3221135,2937419,3038900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P40525;P87262,1.52E+08,2.71E+08,2.22E+08,4.80E+08,2.61E+08,1.20E+08,1.72E+08,3.11E+08,5.66E+07,9.87E+07,4.47E+07,3.35E+07,7.71E+07,5.73E+07,4.90E+07,9.32E+07
P40541,1.35E+07,9327339,6457703,1.03E+07,3.03E+07,1.72E+07,1.14E+07,2.58E+07,465567.2,532198.4,975734.8,1400984,1486296,1678423,987520.9,1966695
P43621,3591672,3351681,2965493,4591580,3669244,3502068,1868256,3362522,2.23E+07,2.07E+07,1.97E+07,1.71E+07,2.24E+07,1.48E+07,1.20E+07,1.88E+07
P14126,2.40E+08,1.68E+08,1.04E+08,1.59E+08,9.40E+07,1.35E+08,7.38E+07,8.02E+07,2.52E+08,2.33E+08,1.12E+08,7.68E+07,1.62E+08,4.13E+07,1.39E+08,1.29E+08
P53599,4794026,2703518,3362653,7811794,4433553,3060896,3288988,3834089,510443.7,6246571,2635097,1955175,146874.8,NaN,NaN,NaN
P32471,4216713,1780643,3817185,4701089,3501999,6208331,2839740,5209154,6483505,6242976,7580907,3238615,4256618,5918359,6361355,1.16E+07
P53141,1.01E+07,3853240,1.43E+07,9381083,7892380,3238541,3308466,3592531,1.06E+07,7445868,4644576,1.09E+07,1.09E+07,7763683,6759457,5162289
P39730,1.65E+07,9657074,1.17E+07,1.55E+07,1.47E+07,9982201,7149401,1.36E+07,5275489,5445706,5190303,4842701,6070602,5838303,2172921,4986334
Q07457,4194133,4112288,4824351,5652252,2482126,2228201,661442.9,2649691,408528.2,1215833,1318361,1495024,NaN,NaN,NaN,391515.5
Q03897,4791911,4337898,4416714,6302028,9508892,4503812,4705299,9118593,361248.2,162069.1,NaN,NaN,1476753,561197.6,297611.2,NaN
P0CX51;P0CX52,5.95E+07,2.35E+07,2.40E+07,5.39E+07,2.99E+07,4.03E+07,4.46E+07,7.56E+07,5.20E+07,5.35E+07,4.40E+07,3.88E+07,3.83E+07,1.73E+07,1.72E+07,1.59E+07
P17255,9475125,9314551,6646283,9884797,4908107,4469285,3227259,8099853,1.32E+08,1.26E+08,2.06E+08,7.10E+07,1.77E+08,9.52E+07,8.43E+07,9.86E+07
P05317,1.67E+08,2.55E+08,1.72E+08,2.31E+08,1.97E+08,7.64E+07,8.90E+07,2.16E+08,8.28E+07,8.52E+07,9.78E+07,6.65E+07,4.67E+07,6.77E+07,6.59E+07,9.80E+07
Q12019,1802027,1729824,1901332,2216312,5527759,733867,959442.7,956538.7,3299217,4776460,4394307,3526478,2402881,3883909,1721400,2599798
P04050,4.88E+07,2.55E+07,3.29E+07,5.91E+07,5.22E+07,2.82E+07,3.49E+07,4.13E+07,2.03E+07,1.51E+07,1.01E+07,1.40E+07,2.41E+07,2.62E+07,1.76E+07,1.86E+07
Q05022,2.12E+07,2.16E+07,1.30E+07,3.34E+07,1.02E+07,8633254,1.29E+07,1.83E+07,4749292,9465142,1.02E+07,9844076,3543796,6361948,2955813,7916680
P39076,2.83E+07,4.10E+07,5.53E+07,3.09E+07,3.97E+07,2.77E+07,1.97E+07,4.31E+07,2.27E+07,3.28E+07,2.00E+07,1.21E+07,1.60E+07,1.50E+07,1.19E+07,1.05E+07
Q12060,4.25E+07,4.51E+07,9.24E+07,1.02E+08,7.19E+07,5.89E+07,9.08E+07,6.94E+07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,243748
P38262,8901900,5800850,5360219,8405674,9333122,9187708,5929960,6668874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q03862,8589440,1.24E+07,8732387,1.39E+07,1.32E+07,4959893,6700646,1.31E+07,798327.1,591692.6,1180154,534048.1,0,552819.9,478727.8,407917.6
P32381,3097647,3380628,3757543,5987708,2671279,5108106,2211238,2565071,1.63E+08,1.40E+08,1.12E+08,1.64E+08,8.93E+07,1.76E+08,1.10E+08,1.50E+08
P60010,9087816,9670981,9431513,1.88E+07,9939889,1.02E+07,1.08E+07,1.60E+07,7.90E+07,5.72E+07,6.79E+07,6.92E+07,6.25E+07,1.09E+08,6.98E+07,6.10E+07
Q08687,6374405,5118573,5204900,7918081,6410092,5967089,4163986,5014287,287992,160198.1,307508.2,63254.37,NaN,NaN,NaN,560030.6
P53235,2972742,1082473,534279.8,2228847,600355.6,781461.4,397118.2,2261428,NaN,NaN,463801.5,63148.57,NaN,NaN,NaN,NaN
P0CX49;P0CX50,2.59E+08,1.05E+08,2.20E+08,1.50E+08,2.38E+08,8.72E+07,7.59E+07,1.99E+08,6.29E+07,9.40E+07,7.13E+07,3.53E+07,7.22E+07,4.23E+07,3.41E+07,3.84E+07
P10664,8.98E+07,5.88E+07,7.63E+07,1.39E+08,9.75E+07,6.34E+07,6.78E+07,1.40E+08,5.26E+07,5.84E+07,3.08E+07,2.76E+07,3.00E+07,3.88E+07,2.67E+07,3.96E+07
P09959,459949.9,NaN,167723.9,NaN,161732.9,NaN,NaN,126504.7,4647212,1.05E+07,4131417,6153149,2211105,3343195,2829836,3965270
P0CX43;P0CX44,9.00E+07,9.62E+07,1.32E+08,1.28E+08,7.06E+07,5.33E+07,8.80E+07,5.08E+07,4.07E+07,2.95E+07,3.82E+07,2.44E+07,5.46E+07,5.31E+07,3.34E+07,3.33E+07
P09064,1.45E+07,1.38E+07,6854542,1.80E+07,1.16E+07,7205683,6629563,2.18E+07,7294823,7908116,6505812,3525282,6370708,6156974,5853867,4150335
P25582,1.27E+07,1.07E+07,6085460,1.27E+07,1.56E+07,1.12E+07,6823185,7989009,0,179072.5,NaN,535263.4,348043.8,191649.2,NaN,139327.6
P47019,2.06E+07,1.71E+07,1.47E+07,1.54E+07,9286902,1.11E+07,9720854,1.24E+07,1084302,2568583,2185413,1351264,285113.4,1735269,805451.8,270435.9
P32908,8905784,8315491,6797504,7685132,1.30E+07,8100569,7180556,2.02E+07,2682895,1174937,3716585,1494987,2208238,923934,1898498,1645885
Q03973,2887149,3661643,1815860,3499723,1.16E+07,2702252,2619465,1794287,NaN,2170614,1697440,266789.3,594139.3,283625.2,758125.1,647564.6
Q12692,4035219,3667068,5598894,6810550,4155415,8871070,7695824,6766305,3837329,4180072,4923112,3901112,2682273,5688669,4591949,4292877
P04911;P04912,1.97E+08,3.25E+08,1.65E+08,3.37E+08,1.93E+08,1.38E+08,9.42E+07,1.37E+08,1.73E+07,3.10E+07,2.19E+07,1.33E+07,7913804,1.37E+07,6915031,9449814
