PG.UniprotIds,221125_EC1_nvolkmar_EX140_1.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_2.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_3.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_4.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_5.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_6.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_7.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_8.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_9.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_10.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_11.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_12.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_13.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_14.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_15.raw.PG.Label-Free Quant,221125_EC1_nvolkmar_EX140_16.raw.PG.Label-Free Quant
P26364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1166815,213902.7,400235.4,138037.4,NaN,248171.5,416662.9,206676.2
P36101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,435889,NaN,211543,0,NaN,NaN,NaN,NaN
P25846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,301416.3,629660.6,NaN,NaN,NaN,NaN,NaN
Q04005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2293935,1476537,761905.5,2008507,2816704,726464.6,1913139,953286.6
P36113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,397602.1,483057.9,135186.9,689902.4,197368.7,NaN,374013.1,NaN
P25574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1342206,110226.1,562705.2,563555.9,NaN,NaN,270074.3,821430.9
Q08760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,162123.2,NaN,NaN,NaN,NaN,NaN
Q05924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,258773.9,163149.3,426063,144841.3,269174.7,318002.7,121579,NaN
P34077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,628671.6,NaN,335257.8,NaN,1614929,2514781,1859845,1605041
P40350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162849.6,NaN,922892.6,NaN,NaN,NaN,NaN,801102.5
P33760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2617540,6937493,NaN,7607464,NaN,5906413,132566.1,4402446
P40031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218647.3,173762.3,NaN,NaN,NaN,NaN,NaN,145616.6
P15179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,636970.9,258913.3,74831.52,132380.7,244648.4,NaN,240976.6,360092.7
Q07949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1103023,NaN,745501.6,422404.7,398640.4,606732.9,818231.9,NaN
P32855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315241.2,364855.8,284269.1,160864.8,NaN,NaN,396385.8,NaN
P25611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,281845.5,410050.4,758249.7,NaN,396725.2,NaN,225328.7,554751.9
Q06053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,209838.1,318003.5,774673.6,118237.9,255701.5,1078287,664572.2,118955.5
P53260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,503555.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P53267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1824919,1861451,632325.4,1134746,751571.8,247099.3,421662,1121360
Q12146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108108.7,133560.9,235443.2,157898.2,160188.7,118973.7,87134.77,111299.5
P53095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173823.2,397089.3,679969.8,1409491,418791,415956,713674.3,729244
Q05789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q08193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1511527,2276468,2213192,785439.9,2764002,2453234,807909.3,4069395
Q05931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1676407,2615418,2757591,2047132,2206759,2072694,1452585,1956787
P38089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193097.2,374527.3,NaN,370996.7,410661.2,170103,NaN,423779.5
P38741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162856.4,NaN,0,NaN,NaN,NaN,NaN,NaN
Q05166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252446.5,NaN,NaN,178539.4,NaN,714774.4,NaN,639155.2
P29366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,302409,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q06696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233599.3,0,NaN,NaN,NaN,0,154872.5,104817.6
P53860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,673995.3,NaN,2782032,562354.1,NaN,NaN,NaN,115206.8
Q12465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,213532.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P33331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,761106.6,1005066,624274.2,1188302,NaN,943220.4,1053441,762816.6
P08004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81539.03,NaN,181373.2,237911.3,146738.3,451985.7,0,NaN
P53731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,902820.4,3394398,2541026,1153383,3210023,1677475,1415742,1391213
P40416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,926743.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P38616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2376898,2390068,3305501,927457.4,1.37E+07,6278380,4360208,5311792
Q99316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245934.4,648471.6,2281312,949209,416264.3,154133.4,NaN,204917.4
