Protein;Control_1;Control_2;Control_3;Control_4;HU_1;HU_2;HU_3;HU_4
P10834;33250.28515625;21617.048828125;31080.34375;37787.96875;39390.640625;37510.046875;28070.7578125;40769.0078125
P10849;63540.515625;68810.0625;69528.15625;49401.41015625;42007.60546875;41160.9609375;42762.9765625;36723.05078125
P10862;26096.853515625;27433.701171875;27227.798828125;25870.1328125;28296.373046875;25738.65234375;25153.923828125;24594.34765625
P10869;203027.71875;220648.59375;200607.3125;197134.828125;228221.515625;230337.59375;240896.015625;246519.625
P10961;76066.265625;76599.234375;79266.078125;57833.54296875;70985.59375;71463.7578125;64169.9921875;68715.5625
P10962;180449.515625;138332.015625;157190.84375;120349.625;162455.4375;154887.140625;167434.46875;134415.453125
P10964;13348272;11331668;12805339;12039401;12747876;13292007;13284339;13185645
P11075;224941.15625;206254.03125;261016.78125;245348.671875;241305.984375;256055.5625;278684.40625;265740.75
P11076;1584626.5;1574367.375;1921767.75;1591333.25;2738403.25;2969376.25;3904223.25;3709499.75
P11154;412795.8125;401669.875;475161.6875;419696.09375;673033.9375;718283.875;745789.375;815080.4375
P11353;418917.65625;588346.625;406901.0625;475729.59375;350261.125;354398.09375;328303.6875;354227.75
P11412;1108381.75;1025803.125;1253667.75;1176078.875;1160372.375;1180453.5;1214055.125;1190352.25
P11433;17344.740234375;20484.75390625;26266.43359375;23863.98046875;17608.556640625;19668.51171875;22210.82421875;19589.251953125
P11484;56479336;49060712;45044360;47601252;40360088;39979196;38138532;40763552
P11491;239120.484375;254409.78125;216287.28125;187627.71875;238667.453125;218933.59375;197558.390625;194279.875
P11632;885527.875;821470.125;730617.8125;863177.875;833893.75;722424.5;896783.875;677284.5
P11633;577386.3125;552411.5;500076.9375;667015.0625;528814.25;493129.5;514820.90625;497179.4375
P11655;73806.7890625;72463.890625;81759.3046875;97741.3125;103192.1640625;97063.5546875;97611.5078125;122705.4921875
P11709;68192.890625;56372.7265625;45778.015625;69242.296875;55934.1015625;57749.81640625;53198.0703125;51046.48828125
P11745;619579.875;513479.25;700615.6875;629080.1875;874825.125;970996;1052219.125;996454.625
P11746;61812.91796875;43516.44140625;45908.64453125;58855.3125;92454.1640625;88971.921875;115505.4453125;90689.515625
P11792;93208.6484375;79241.8359375;82226.65625;93022.8046875;49655.23046875;61820.95703125;54075.53515625;71029.1171875
P11914;137820.8125;150678.96875;156402.203125;138535;153061.4375;136567.78125;139649.375;134864.53125
P11938;209939.09375;221852.15625;183560.5625;192033.3125;175338.734375;157869.25;166983.25;169907.984375
